0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/drama1.jpg HTTP/1.1" 200 113942
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/drama2.jpg HTTP/1.1" 200 141634
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/drama3.jpg HTTP/1.1" 200 71721
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/romance.jpg HTTP/1.1" 200 74700
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/romance2.jpg HTTP/1.1" 200 187028
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/romance1.jpg HTTP/1.1" 200 341597
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/suspense.jpg HTTP/1.1" 200 191679
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/suspense1.jpg HTTP/1.1" 200 103274
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/suspense2.jpg HTTP/1.1" 200 85282
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/romance3.jpg HTTP/1.1" 200 116373
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/suspense3.jpg HTTP/1.1" 200 30974
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/logos/eclipse.png HTTP/1.1" 200 13315
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/clientes/pessoa.png HTTP/1.1" 200 214481
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/logos/mysql.png HTTP/1.1" 200 21874
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/logos/bootstrap.png HTTP/1.1" 200 41836
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/equipe/ana.jpg HTTP/1.1" 200 60759
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/equipe/heloisa.jpg HTTP/1.1" 200 36496
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/equipe/victor.jpg HTTP/1.1" 200 30371
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/bg-map.png HTTP/1.1" 200 39835
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/section-bg2.jpg HTTP/1.1" 200 135047
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/img/section-bg1.jpg HTTP/1.1" 200 301138
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:04 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:08 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:08 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:18 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:18 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:18 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:06:18 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:46 -0200] "GET /pyrafilms/index2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:46 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:46 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:46 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:46 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:52 -0200] "GET /pyrafilms/index3.html HTTP/1.1" 200 23452
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:52 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:52 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:52 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:16:52 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:18:27 -0200] "GET /pyrafilms/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:02 -0200] "GET /pyrafilms/index3.html HTTP/1.1" 200 26329
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:02 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:02 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:02 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:02 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:02 -0200] "GET /pyrafilms/services/usuarios/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:02 -0200] "GET /pyrafilms/favicon.ico HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:13 -0200] "GET /pyrafilms/index3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:13 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:13 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:13 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:13 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:22:13 -0200] "GET /pyrafilms/services/usuarios/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:24:28 -0200] "GET /pyrafilms/index3.html HTTP/1.1" 200 26580
